,symbol,sector,longName
380,6191.TW,Technology,Global Brands Manufacture Ltd.
381,6192.TW,Technology,"Lumax International Corp., Ltd."
382,6196.TW,Technology,Marketech International Corp.
383,6197.TW,Technology,"Jess-link Products Co., Ltd."
384,6202.TW,Technology,Holtek Semiconductor Inc.
385,6205.TW,Technology,"Chant Sincere Co., Ltd."
386,6206.TW,Technology,"Flytech Technology Co., Ltd."
387,6209.TW,Technology,"Kinko Optical Co., Ltd."
388,6213.TW,Technology,ITEQ Corporation
389,6214.TW,Technology,Systex Corporation
390,6216.TW,Technology,DrayTek Corporation
391,6230.TW,Technology,Chaun-Choung Technology Corp.
392,6235.TW,Industrials,Waffer Technology Corporation
393,6239.TW,Technology,Powertech Technology Inc.
394,6251.TW,Technology,"Dynamic Electronics Co., Ltd."
395,6257.TW,Technology,Sigurd Microelectronics Corporation
396,6269.TW,Technology,"Flexium Interconnect, Inc."
397,6271.TW,Technology,"Tong Hsing Electronic Industries, Ltd."
398,6277.TW,Technology,"Aten International Co., Ltd"
399,6278.TW,Technology,Taiwan Surface Mounting Technology Corp.
400,6282.TW,Industrials,AcBel Polytech Inc.
401,6285.TW,Technology,Wistron NeWeb Corporation
402,6409.TW,Industrials,Voltronic Power Technology Corp.
403,6414.TW,Technology,Ennoconn Corporation
404,6416.TW,Technology,CASwell Inc.
405,6442.TW,Technology,EZconn Corporation
406,6443.TW,Technology,TSEC Corporation
407,6449.TW,Technology,"Apaq Technology Co., Ltd."
408,6456.TW,Technology,General Interface Solution (GIS) Holding Limited
409,6525.TW,Technology,"GEM Services, Inc."
410,6579.TW,Technology,AAEON Technology Inc.
411,6669.TW,Technology,Wiwynn Corporation
412,8016.TW,Technology,Sitronix Technology Corporation
413,8021.TW,Industrials,"Topoint Technology Co., Ltd."
414,8039.TW,Technology,"Taiflex Scientific Co., Ltd."
415,8046.TW,Technology,Nan Ya Printed Circuit Board Corporation
416,8070.TW,Technology,Chang Wah Electromaterials Inc.
417,8081.TW,Technology,Global Mixed-Mode Technology Inc.
418,8103.TW,Technology,CviLux Corporation
419,8105.TW,Technology,"Giantplus Technology Co., Ltd."
420,8110.TW,Technology,"Walton Advanced Engineering, Inc."
421,8112.TW,Technology,"Supreme Electronics Co., Ltd."
422,8114.TW,Industrials,"Posiflex Technology, Inc."
423,8210.TW,Technology,"Chenbro Micom Co., Ltd."
424,8215.TW,Technology,BenQ Materials Corporation
425,8249.TW,Industrials,Creative Sensor Inc.
426,8261.TW,Technology,"Advanced Power Electronics Co., Ltd."
427,8271.TW,Technology,Apacer Technology Inc.
428,1436.TW,Real Estate,"Hua Yu Lien Development Co., Ltd"
429,1808.TW,Real Estate,"Run Long Construction Co.,Ltd."
430,2501.TW,Real Estate,"Cathay Real Estate Development Co.,Ltd."
431,2505.TW,Real Estate,"Kuo Yang Construction Co.,Ltd"
432,2511.TW,Real Estate,Prince Housing & Development Corp.
433,2516.TW,Industrials,New Asia Construction & Development Corp.
434,2520.TW,Real Estate,"Kindom Development Co., Ltd."
435,2524.TW,Real Estate,"King's Town Construction Co., Ltd."
436,2527.TW,Real Estate,Hung Ching Development & Construction Co. Ltd.
437,2528.TW,Real Estate,Crowell Development Corp.
438,2530.TW,Real Estate,"Delpha Construction Co.,Ltd."
439,2534.TW,Real Estate,Hung Sheng Construction Ltd.
440,2535.TW,Industrials,"Da-Cin Construction Co.,Ltd."
441,2536.TW,Real Estate,"Hong Pu Real Estate Development Co., Ltd."
442,2537.TW,Real Estate,"WE & WIN Development Co., LTD"
443,2538.TW,Real Estate,Kee Tai Properties Co. Ltd.
444,2545.TW,Real Estate,Huang Hsiang Construction Corporation
445,2547.TW,Real Estate,"Radium Life Technology Co., Ltd."
446,2548.TW,Real Estate,"Huaku Development Co., Ltd."
447,2841.TW,Real Estate,Taiwan Land Development Corporation
448,3052.TW,Industrials,Apex Science & Engineering Corp.
449,3266.TW,Real Estate,"Sunty Development Co., LTD"
450,3703.TW,Industrials,Continental Holdings Corporation
